Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 624 vertices, 936 indices, and 1 collision shape
Chunk generated with 948 vertices, 1422 indices, and 1 collision shape
Chunk generated with 660 vertices, 990 indices, and 1 collision shape
Chunk generated with 672 vertices, 1008 indices, and 1 collision shape
Chunk generated with 940 vertices, 1410 indices, and 1 collision shape
Chunk generated with 1112 vertices, 1668 indices, and 1 collision shape
Chunk generated with 604 vertices, 906 indices, and 1 collision shape
Chunk generated with 964 vertices, 1446 indices, and 1 collision shape
Chunk generated with 696 vertices, 1044 indices, and 1 collision shape
Chunk generated with 924 vertices, 1386 indices, and 1 collision shape
Chunk generated with 820 vertices, 1230 indices, and 1 collision shape
Chunk generated with 844 vertices, 1266 indices, and 1 collision shape
Chunk generated with 872 vertices, 1308 indices, and 1 collision shape
Chunk generated with 924 vertices, 1386 indices, and 1 collision shape
Chunk generated with 760 vertices, 1140 indices, and 1 collision shape
Chunk generated with 836 vertices, 1254 indices, and 1 collision shape
Chunk generated with 1128 vertices, 1692 indices, and 1 collision shape
Chunk generated with 872 vertices, 1308 indices, and 1 collision shape
Chunk generated with 996 vertices, 1494 indices, and 1 collision shape
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
Chunk generated with 1080 vertices, 1620 indices, and 1 collision shape
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
Chunk generated with 616 vertices, 924 indices, and 1 collision shape
Chunk generated with 680 vertices, 1020 indices, and 1 collision shape
Chunk generated with 924 vertices, 1386 indices, and 1 collision shape
Chunk generated with 784 vertices, 1176 indices, and 1 collision shape
Chunk generated with 956 vertices, 1434 indices, and 1 collision shape
Chunk generated with 832 vertices, 1248 indices, and 1 collision shape
Chunk generated with 856 vertices, 1284 indices, and 1 collision shape
